设备信息
设备型号：Redmi 4
系统版本：6.0.1
GPU信息： Qualcomm, Adreno (TM) 506, OpenGL ES 3.1 V@145.0 (GIT@I74772a33ad)
设备内存：2.78G
屏幕分辨率：1080x1920
应用程序分辨率：1080x1920
屏幕密度：480dpi
电池健康情况：health

安装报告：
安装失败  INSTALL_FAILED_ALREADY_EXISTS
2020-04-28 17:58:22
该次安装结果不计入整体报告
电量使用报告:
共耗电12.2mA，详细耗电情况为 cpu=12.2 sensor=0.0106

CPU占有率报告:
+--------------+--------+---------+-----------+------------------------+---------------------+
| serialNumber | CPU(%) | user(%) | kernel(%) |         faults         |      timestamp      |
+--------------+--------+---------+-----------+------------------------+---------------------+
|      1       |  0.7   |   0.4   |    0.3    |          null          | 2020-04-28 17:58:23 |
|      2       |  0.8   |   0.6   |    0.1    |        41 minor        | 2020-04-28 17:58:26 |
|      3       |  0.8   |   0.6   |    0.1    |        41 minor        | 2020-04-28 17:58:29 |
|      4       |  0.8   |   0.6   |    0.1    |        41 minor        | 2020-04-28 17:58:32 |
|      5       |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:58:35 |
|      6       |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:58:38 |
|      7       |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:58:41 |
|      8       |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:58:44 |
|      9       |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:58:48 |
|      10      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:58:51 |
|      11      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:58:54 |
|      12      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:58:57 |
|      13      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:00 |
|      14      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:03 |
|      15      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:06 |
|      16      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:09 |
|      17      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:12 |
|      18      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:15 |
|      19      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:18 |
|      20      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:21 |
|      21      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:24 |
|      22      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:27 |
|      23      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:30 |
|      24      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:33 |
|      25      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:36 |
|      26      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:39 |
|      27      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:43 |
|      28      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:46 |
|      29      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:49 |
|      30      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:52 |
|      31      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:55 |
|      32      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 17:59:58 |
|      33      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:01 |
|      34      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:04 |
|      35      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:07 |
|      36      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:10 |
|      37      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:13 |
|      38      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:16 |
|      39      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:19 |
|      40      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:22 |
|      41      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:25 |
|      42      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:28 |
|      43      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:31 |
|      44      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:34 |
|      45      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:37 |
|      46      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:41 |
|      47      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:44 |
|      48      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:47 |
|      49      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:50 |
